Area,Ward No,Sub Ward,Ward Name,Winner,Party
R–North,1,,Kandarpada - IC Colony,Rekha Yadav,ShivSena
R–North,2,,Gaondevi - Dahisar (East),Tejaswi Abhishek Ghosalkar,BJP
R–North,3,,Ketkipada - Shailendra Nagar,Prakash Darekar,BJP
R–North,4,,Ravalpad,Mangesh Pangare,ShivSena
R–North,5,,Ashokvan - Chintamani Nagar,Sanjay Ghadi,ShivSena
R–North,6,,Ambadi - Overi Pada,Diksha Karkar,ShivSena
R–North,7,,Kandarpada,Ganesh Khankar,BJP
R–North,8,,Mandapeshwar,Yogita Patil,BJP
R–Central,9,,MHB Colony,Shivanand Shetty,BJP
R–Central,10,,Govind Nagar,Jitendra Patel,BJP
R–Central,11,,Daulat Nagar,Dr. Aditi Khursange,ShivSena
R–Central,12,,National Park,Sarika Jhore,ShivSena-UBT
R–Central,13,,Alta Colony - Dattapada,Rani Trivedi,BJP
R–Central,14,,"Rajendra Nagar, Borivali",Seema Shinde,BJP
R–Central,15,,Kora Centre,Jignasa Shah,BJP
R–Central,16,,Vazhira Naka,Shweta Korgaonkar,BJP
R–Central,17,,Kastur Park,Shilpa Sangore,BJP
R–Central,18,,"Charkop (S), Kandivali",Sandhya Vipul Doshi,ShivSena
R–South,19,,Charkop Sector,Dakshata Kavthankar,BJP
R–South,20,,Sahyadri Nagar,Deepak Tavde,BJP
R–South,21,,Mahavir Nagar,Leena Deherkar,BJP
R–South,22,,Sundar Pada,Himanshu Parekh,BJP
R–South,23,,Parsi Colony,Shivkumar Jha,BJP
R–South,24,,Defence Colony,Swati Jaiswal,BJP
R–South,25,,Thakur Village,Nisha Parulekar Bangera,BJP
R–South,26,,"Gautam Nagar, Damu Nagar",Dharmendra Kale,ShivSena-UBT
R–South,27,,Narsi Pada,Neelam Gurav,BJP
R–South,28,,Hanuman Nagar,Ajanta Yadav,INC
R–South,29,,Ashok Nagar,Sachin Patil,ShivSena-UBT
R–South,30,,Irani Wadi,Dhaval Vora,BJP
R–South,31,,Ekta Nagar,Manisha Yadav,BJP
P–North,32,,Manori Bete,Geeta Bhandari,ShivSena-UBT
P–North,33,,Azad Nagar,Mohammad Moeen Siddique,INC
P–North,34,,BMC Colony,Hyder Aslam sheikh,INC
P–North,35,,Dominic Colony,Yogesh Verma,BJP
P–North,36,,Pushpa Park,Siddhart Sharma,BJP
P–North,37,,Kurar Village,Yogita Prashant Kadam,ShivSena-UBT
P–North,38,,Tanaji Nagar,Surekha Parab,MNS
P–North,39,,Gokul Nagar,Pushpa Ramesh Kamble,ShivSena-UBT
P–North,40,,"Mira Nagar, Dindoshi",Suhas wadkar,ShivSena-UBT
P–North,41,,"Nagri Nivara, Santosh Nagar",Adv. Suhas Wadkar,ShivSena-UBT
P–North,42,,Pimpri Pada,Dhanshree Bharadkar,ShivSena
P–North,43,,Kokni Pada,Ajit Raorane,NCP-SP
P–North,44,,Raheja Township,Sangeeta Sharma,BJP
P–North,45,,Govind Nagar,Sanjay Kamble,BJP
P–North,46,,Mamaleddar Wadi,Yogita Koli,BJP
P–North,47,,Mamaleddar Wadi,Tejinder Singh Tiwana,BJP
P–North,48,,Malni Depot,Rafiq Eliyas Sheikh,INC
P–North,49,,Madh Bet,Sangeeta Koli,INC
P–South,50,,"Bangurnagar, Sundar Nagar",Vikram Rajput,BJP
P–South,51,,Jayprakash Nagar,Varsha Tembwalker,ShivSena
P–South,52,,Gokuldam,Priti Satam,BJP
P–South,53,,Arey Colony,Jeetendra Valvi,ShivSena-UBT
P–South,54,,Pandurang Wadi,Ankit prabhu,ShivSena-UBT
P–South,55,,Jawahar Nagar,Harsh Patel,BJP
P–South,56,,Motilal Nagar,Laxmi Bhatia,ShivSena-UBT
P–South,57,,Lakshmi Nagar,Shrikala Pillay,BJP
P–South,58,,Oshivara Depot,Sandeep Patel,BJP
K–West,59,,Versova,Yashodhar Phanse,ShivSena-UBT
K–West,60,,Lokhandwala,Sayali Kulkarni,BJP
K–West,61,,Anand Nagar,Divya Singh,INC
K–West,62,,Behram Baag,Zeeshan Changez Multani,ShivSena-UBT
K–West,63,,MHADA Colony,Rupesh Savarkar,BJP
K–West,64,,Shivalik Nagar,Saba Harun Khan,ShivSena-UBT
K–West,65,,"Rambag, Amboli",Vithhal Bhanderi,BJP
K–West,66,,Lohana Colony,Haider Moseen,INC
