Area,Ward No,Sub Ward,Ward Name,Winner,Party
Mangalwari,1,A,Mangalwari-1,Dhanvijay Mahendraprasad Ramesh,BJP
Mangalwari,1,B,Mangalwari-1,Chaudhary Sushma Sanjay,BJP
Mangalwari,1,C,Mangalwari-1,Mathrani Pramila Pritam,BJP
Mangalwari,1,D,Mangalwari-1,Kukreja (Vicky) Virendra Ghanshyamdas,BJP
AashiNagari,2,A,AashiNagari-2,BHAVNA  SANTOSH LONARE,INC
AashiNagari,2,B,AashiNagari-2,DINESH BASANTLAL YADAV,INC
AashiNagari,2,C,AashiNagari-2,SANGITA SURESH PATIL,INC
AashiNagari,2,D,AashiNagari-2,MANISH KISHAN BANSOD,INC
AashiNagari,3,A,AashiNagari-3,KIRAN MANPIYA,BJP
AashiNagari,3,B,AashiNagari-3,PAWAN BALUJI KOYE,AIMIM
AashiNagari,3,C,AashiNagari-3,SOFIYA ASIF SHEIKH ( MANDWA ),AIMIM
AashiNagari,3,D,AashiNagari-3,ALISHA FAHIM KHAN,AIMIM
Lakadganj,4,A,Lakadganj-4,PATIL NIRANJAN MAHESH,BJP
Lakadganj,4,B,Lakadganj-4,GOTMARE SHESHRAO SHANKARRAO,BJP
Lakadganj,4,C,Lakadganj-4,ATKARE MANISHA CHAKRADHAR,BJP
Lakadganj,4,D,Lakadganj-4,RAMDAS DWARKAPRASAD SHAHU,BJP
Satranjipura,5,A,Satranjipura-5,KU. HATTTITHELE LAXMI CHANDRABHUSAN,BJP
Satranjipura,5,B,Satranjipura-5,UIKEY RAMA MANIKRAO,INC
Satranjipura,5,C,Satranjipura-5,ABHIRUCHI ANIL RAJGIRE,BJP
Satranjipura,5,D,Satranjipura-5,CHAWARE SANJAY ARUNRAO,BJP
AashiNagari,6,A,AashiNagari-6,REKHA VISHWAS PATIL,IUML
AashiNagari,6,B,AashiNagari-6,ANSARI MOHAMMAD MUJTABA,IUML
AashiNagari,6,C,AashiNagari-6,SAYMA FAYYAZ QURESHI,IUML
AashiNagari,6,D,AashiNagari-6,ASLAM MULLA KHAN,IUML
AashiNagari,7,A,AashiNagari-7,KALPANA RAJENDRA DRONKAR,INC
AashiNagari,7,B,AashiNagari-7,ASIF SADIF SHEIKH ( GUDDU ),INC
AashiNagari,7,C,AashiNagari-7,JAISWAL HARSHALA SANJAY,BSP
AashiNagari,7,D,AashiNagari-7,SHAMBHARKAR ABHISHEK BRAMHDEV,INC
Gandhibag,8,A,Gandhibag-8,SAYAD MUSKAN,INC
Gandhibag,8,B,Gandhibag-8,ANSAR SIRAJ AHAMAD,INC
Gandhibag,8,C,Gandhibag-8,ANSARI SAYADA BEGAM,INC
Gandhibag,8,D,Gandhibag-8,WASIM KHAN,INC
Mangalwari,9,A,Mangalwari-9,VIVEK RAMESH NIKOSE,INC
Mangalwari,9,B,Mangalwari-9,Pragati Rohit Yadav,INC
Mangalwari,9,C,Mangalwari-9,Maristela Deva Usre,INC
Mangalwari,9,D,Mangalwari-9,Ambade Gautam Haribhau,INC
Mangalwari,10,A,Mangalwari-10,"Sunita Deepakrao,",INC
Mangalwari,10,B,Mangalwari-10,Salame Saraswati Vijay,INC
Mangalwari,10,C,Mangalwari-10,Davre Sima Arun,INC
Mangalwari,10,D,Mangalwari-10,Thakur Pramod Jogedra,INC
Mangalwari,11,A,Mangalwari-11,Chacherkar Manju Ganesh,INC
Mangalwari,11,B,Mangalwari-11,Advocate Snehal Bandu alias Dnyaneshwar Thackeray,INC
Mangalwari,11,C,Mangalwari-11,Thakur Mamta Bajrang,BJP
Mangalwari,11,D,Mangalwari-11,Pandey Shailesh Ramsundar,INC
Dharampeth,12,A,Dharampeth-12,Darshani Swanand Dhawad,BJP
Dharampeth,12,B,Dharampeth-12,Maya Chintaman Iwnate,BJP
Dharampeth,12,C,Dharampeth-12,Barde Sadhana Naresh,BJP
Dharampeth,12,D,Dharampeth-12,Gwalbansi Vikram Jagdish,BJP
Dharampeth,13,A,Dharampeth-13,Pachpor Yogesh Ruprao,BJP
Dharampeth,13,B,Dharampeth-13,Masram Rutika Yogesh,BJP
Dharampeth,13,C,Dharampeth-13,Chaudhary Varsha Gahanshyam,BJP
Dharampeth,13,D,Dharampeth-13,Hole Vijay Parashram,BJP
Dharampeth,14,A,Dharampeth-14,Telang Yogita Dhanraj,BJP
