Area,Ward No,Sub Ward,Ward Name,Winner,Party
,1,A,Kalas - Dhanori - Remaining Lohgaon,Ashwini Rahul (Appa) Bhandare,BJP
,1,B,Kalas - Dhanori - Remaining Lohgaon,Dangat Sangita Sandeep,BJP
,1,C,Kalas - Dhanori - Remaining Lohgaon,Rekha Chandrakant Tingre,NCP
,1,D,Kalas - Dhanori - Remaining Lohgaon,Anil (Bobby) Vasantrao Tingre,BJP
,2,A,Phulenagar - Nagpur Chawl,Dhende Nandini Siddharth,NCP
,2,B,Phulenagar - Nagpur Chawl,Ravi (Harshal) Ramesh Tingre,NCP
,2,C,Phulenagar - Nagpur Chawl,Shital Ajay Sawant,NCP
,2,D,Phulenagar - Nagpur Chawl,Suhas Vijay Tingre,NCP
,3,A,Viman nagar - Lohgaon,Dr. Shreyas Pritam Khandve,BJP
,3,B,Viman nagar - Lohgaon,Anil Dilip Satav,BJP
,3,C,Viman nagar - Lohgaon,Aishwarya Surendra Pathare,BJP
,3,D,Viman nagar - Lohgaon,Dabhade Ramdas Dattatray,BJP
,4,A,Kharadi - Wagholi,Shri. Bansode Shailjeet Jaywant,BJP
,4,B,Kharadi - Wagholi,Ratnamala Sandeep Satav,BJP
,4,C,Kharadi - Wagholi,Bharane Trupti Santosh,BJP
,4,D,Kharadi - Wagholi,Surendra Bapusaheb Pathare,BJP
,5,A,Kalyaninagar - Vadagaonsheri,Narayan Mohan Galande,BJP
,5,B,Kalyaninagar - Vadagaonsheri,Galande Shweta Mukund,BJP
,5,C,Kalyaninagar - Vadagaonsheri,Galande Kavita Mahendra,BJP
,5,D,Kalyaninagar - Vadagaonsheri,Mulik Yogesh Tukaram,BJP
,6,A,Yerawada - Gandhinagar,Adv. Avinash Raj Salve,INC
,6,B,Yerawada - Gandhinagar,Saira Hanif Sheikh,INC
,6,C,Yerawada - Gandhinagar,Ashwini Daniel Landge,INC
,6,D,Yerawada - Gandhinagar,Vishal Hari Malke,INC
,7,A,Gokhale nagar - Wakadewadi,Manvatkar Nisha Sachin,BJP
,7,B,Gokhale nagar - Wakadewadi,Anjali Vinodanna Orse,NCP
,7,C,Gokhale nagar - Wakadewadi,Adv. Nikam Nilesh Narayan,NCP
