Area,Ward No,Sub Ward,Ward Name,Winner,Party
,1,A,Ovale Kasarvadavali Bhainderpada Kavesar,Sadhana Rajendra Joshi,ShivSena
,1,B,Ovale Kasarvadavali Bhainderpada Kavesar,Namrata Ravi Gharat,ShivSena
,1,C,Ovale Kasarvadavali Bhainderpada Kavesar,Naresh Ratan Manera,ShivSena
,1,D,Ovale Kasarvadavali Bhainderpada Kavesar,Siddharth Dilip Ovalekar,ShivSena
,2,A,"Hiranandani Estate, Patlipada, Bramhand Akbar Camp",Kamal Ramesh Choudhary,BJP
,2,B,"Hiranandani Estate, Patlipada, Bramhand Akbar Camp",Kavita Suresh Patil,BJP
,2,C,"Hiranandani Estate, Patlipada, Bramhand Akbar Camp",Archana Kiran Manera,BJP
,2,D,"Hiranandani Estate, Patlipada, Bramhand Akbar Camp",Manohar Jaisingh Dumbare,BJP
,3,A,"Manpada, Manorama Nagar, Azad Nagar",Padma Yashwant Bhagat,ShivSena
,3,B,"Manpada, Manorama Nagar, Azad Nagar",Madhukar Ramchandra Pawshe,ShivSena
,3,C,"Manpada, Manorama Nagar, Azad Nagar",Meenakshi Rajendra Shinde,ShivSena
,3,D,"Manpada, Manorama Nagar, Azad Nagar",Bhushan Devram Bhoir,ShivSena
,4,A,"Happy Valley, Hiranandani Meadows, Ashar Residency, Nilkanth Woods",Mukesh Madhukar Mokashi,BJP
,4,B,"Happy Valley, Hiranandani Meadows, Ashar Residency, Nilkanth Woods",Sneha Ramesh Ambre,BJP
,4,C,"Happy Valley, Hiranandani Meadows, Ashar Residency, Nilkanth Woods",Asha Devi Sher Bahadur Singh,BJP
,4,D,"Happy Valley, Hiranandani Meadows, Ashar Residency, Nilkanth Woods",Sanjay Shrinath Pandey,ShivSena
,5,A,"Pawar Nagar, Vasant Vihar, Shivai Nagar, Yeur Kokani Pada, Ram Baug",Narendra Somnath Surkar,ShivSena
,5,B,"Pawar Nagar, Vasant Vihar, Shivai Nagar, Yeur Kokani Pada, Ram Baug",Jayashree Jerry David,ShivSena
,5,C,"Pawar Nagar, Vasant Vihar, Shivai Nagar, Yeur Kokani Pada, Ram Baug",Ragini Bhaskar Barisetty,ShivSena
,5,D,"Pawar Nagar, Vasant Vihar, Shivai Nagar, Yeur Kokani Pada, Ram Baug",Parisha Pratap Sarnaik,ShivSena
,6,A,"Lokmanya Nagar, Shastri Nagar, Pariera Nagar",Vanita Sandeep Ghogre,NCP
,6,B,"Lokmanya Nagar, Shastri Nagar, Pariera Nagar",Digambar Vaman Thakur,NCP
,6,C,"Lokmanya Nagar, Shastri Nagar, Pariera Nagar",Radhabai Subhash Jadhav,NCP
,6,D,"Lokmanya Nagar, Shastri Nagar, Pariera Nagar",Hanumant Gyanu Jagdale,NCP
,7,A,"Vartak Nagar, Raymond, Samata Nagar, Oswal Park, Chirag Nagar, Laxmi Nagar",Vimal Arjun Bhoir,ShivSena
,7,B,"Vartak Nagar, Raymond, Samata Nagar, Oswal Park, Chirag Nagar, Laxmi Nagar",Kalpana Harishchandra Patil,ShivSena
,7,C,"Vartak Nagar, Raymond, Samata Nagar, Oswal Park, Chirag Nagar, Laxmi Nagar",Radhika Rajendra Phatak,ShivSena
,7,D,"Vartak Nagar, Raymond, Samata Nagar, Oswal Park, Chirag Nagar, Laxmi Nagar",Vikrant Bhimsen Chavan,INC
